dauid,population,pop_in_low_inc_hhld_LICO
35201339,370,115
35201662,517,30
35201350,732,55
35201349,494,45
35201348,539,50
35201334,984,285
35201333,373,110
35201332,796,175
35201338,506,170
35201337,587,200
35201212,497,45
35201331,440,145
35200738,451,30
35200575,562,30
35201803,343,20
35202089,553,125
35202088,747,180
35200574,438,40
35201802,433,10
35200573,528,15
35203843,477,65
35200707,394,30
35203201,511,85
35202386,1221,130
35202384,608,15
35202385,660,15
35202383,624,15
35201508,740,20
35201509,568,10
35201506,671,15
35201507,808,50
35201504,487,15
35201505,544,30
35201502,626,40
35201503,560,20
35202392,918,55
35202393,600,45
35202390,397,10
35202391,569,30
35202388,1155,60
35202389,753,55
35202387,570,40
35203202,404,80
35202176,390,25
35202174,296,30
35202175,379,15
35202172,836,145
35202173,816,105
35202170,455,95
35202171,336,60
35202168,436,90
35202169,492,110
35202167,463,40
35201317,442,60
35202108,1314,95
35202109,991,95
35202115,510,55
35203199,892,140
35203198,336,60
35203200,770,100
35200801,1873,510
35202166,466,55
35202164,638,85
35202165,929,110
35202162,694,140
35202163,638,95
35202119,932,170
35202120,990,95
35202114,446,50
35202118,532,50
35202112,637,75
35202113,585,45
35202110,791,80
35202111,538,35
35203197,487,50
35201997,508,40
35201993,789,105
35201996,463,20
35202106,571,55
35202107,339,35
35202104,525,110
35202105,398,30
35202102,611,80
35202103,528,130
35202377,543,30
35202101,385,40
35202375,516,40
35202376,712,20
35202373,663,135
35202374,651,55
35202371,689,20
35202372,490,25
35201999,805,170
35202370,546,10
35201998,504,40
35203196,298,40
35201856,1267,480
35201857,1119,250
35201854,1799,575
35201855,374,30
35201851,1144,215
35201852,339,50
35201853,716,360
35203195,646,290
35201992,376,55
35200798,439,100
35202031,846,185
35201376,715,95
35202030,923,140
35202049,441,55
35201790,373,30
35202005,386,35
35202048,370,35
35202004,815,100
35202007,553,60
35203194,599,85
35202121,568,70
35201859,542,45
35201818,493,45
35201816,444,20
35201817,444,20
35201806,528,15
35201807,625,50
35201804,446,15
35201805,664,5
35201791,704,125
35201849,738,150
35201850,453,50
35201847,421,30
35201848,387,35
35202047,302,40
35201846,648,50
35202045,433,105
35202046,1000,190
35202040,632,135
35202042,1142,445
35202036,1100,595
35202037,339,65
35201356,372,35
35201355,466,90
35202029,1101,170
35202006,357,65
35202028,269,15
35200604,581,50
35202027,375,35
35200603,685,80
35201661,671,30
35201353,419,35
35201601,709,95
35201656,422,45
35201600,537,70
35201354,433,40
35201858,517,70
35201670,494,145
35201672,534,105
35201667,861,90
35201665,659,40
35201666,490,15
35201663,3539,405
35201664,1713,115
35201659,525,20
35201660,493,30
35201657,471,45
35201658,482,15
35203816,447,25
35203223,222,
35200661,711,360
35200520,555,65
35200664,731,45
35200663,289,20
35200662,778,85
35201437,528,210
35201061,531,90
35201062,299,40
35200610,320,15
35200739,601,90
35201282,559,60
35200606,420,55
35201587,498,30
35202002,617,80
35202003,1125,255
35202001,1420,385
35201516,658,30
35202000,550,40
35200605,700,55
35201515,611,15
35201512,603,35
35201514,723,50
35201510,536,15
35201511,603,25
35201513,610,25
35200802,655,310
35201328,301,110
35201329,361,100
35201326,672,120
35201327,623,185
35201654,470,10
35203204,349,35
35201358,677,50
35201357,958,145
35201324,377,30
35201325,409,25
35200804,5,
35200803,546,285
35201204,466,40
35201188,629,60
35201187,330,30
35201185,535,60
35201186,646,70
35201181,439,40
35201182,684,60
35201322,594,65
35201323,443,40
35201320,698,85
35201321,533,40
35201318,513,25
35201319,543,85
35201209,258,55
35201210,289,30
35201200,607,75
35201206,618,85
35201197,315,25
35201198,977,85
35201195,404,40
35201196,912,120
35201193,477,60
35201194,347,35
35201191,325,45
35201192,404,40
35203203,333,30
35201199,546,80
35204310,2520,760
35202576,565,60
35204311,1545,505
35201554,548,85
35201055,912,125
35201205,643,135
35201054,665,185
35201053,474,150
35201052,546,100
35200571,576,70
35202380,476,35
35202379,376,40
35200569,600,90
35201433,666,130
35200570,473,35
35201419,500,45
35203170,521,105
35202790,1122,155
35204312,1359,445
35203193,411,75
35202116,498,40
35204590,873,350
35204618,1338,460
35201019,468,65
35200572,575,40
35200736,370,30
35200735,440,45
35201408,513,60
35202035,621,105
35202236,479,130
35200737,406,40
35203227,498,120
35201959,692,115
35202338,393,40
35202339,481,115
35203191,280,40
35202657,537,155
35201051,667,185
35201050,316,35
35202273,765,85
35202272,625,30
35202271,415,35
35201203,772,90
35201202,433,65
35202378,773,55
35201201,486,60
35201553,563,105
35202951,417,40
35203192,530,75
35202789,498,60
