"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15"
5350263.03,4906.00,1.56,2185.00,1220.00,90.00,665.00,180.00,15.00,25.00,2185.00,295.00,680.00,580.00,265.00,365.00
5350263.04,6531.00,0.67,2830.00,1700.00,120.00,810.00,160.00,0.00,35.00,2825.00,425.00,845.00,665.00,415.00,470.00
5350264.00,1301.00,3.47,435.00,370.00,15.00,20.00,25.00,0.00,10.00,435.00,75.00,185.00,125.00,35.00,20.00
5350265.00,4756.00,2.68,1625.00,1040.00,95.00,325.00,115.00,25.00,30.00,1630.00,215.00,480.00,655.00,195.00,85.00
5350266.00,3209.00,2.76,1160.00,830.00,30.00,235.00,25.00,10.00,35.00,1160.00,125.00,410.00,425.00,110.00,85.00
5350267.00,6368.00,2.71,2485.00,1750.00,95.00,500.00,75.00,10.00,70.00,2485.00,340.00,825.00,745.00,350.00,230.00
5350268.00,6419.00,3.03,2420.00,1525.00,125.00,620.00,115.00,25.00,10.00,2420.00,415.00,725.00,675.00,320.00,290.00
5350269.01,5056.00,0.74,2215.00,990.00,75.00,1065.00,55.00,0.00,15.00,2215.00,185.00,540.00,535.00,345.00,605.00
5350269.02,2569.00,1.74,1130.00,805.00,55.00,220.00,20.00,10.00,10.00,1130.00,180.00,345.00,310.00,155.00,140.00
5350270.01,4980.00,1.12,2265.00,1380.00,80.00,755.00,35.00,0.00,20.00,2265.00,290.00,550.00,595.00,360.00,470.00
5350270.02,4264.00,0.76,1805.00,1175.00,80.00,495.00,50.00,0.00,10.00,1805.00,210.00,480.00,550.00,290.00,275.00
5350271.01,2429.00,0.89,1200.00,730.00,115.00,295.00,60.00,15.00,0.00,1200.00,150.00,345.00,390.00,130.00,190.00
5350271.02,4815.00,0.71,1885.00,1090.00,95.00,575.00,80.00,10.00,20.00,1885.00,230.00,615.00,480.00,230.00,320.00
5350272.01,5987.00,0.46,2615.00,1165.00,205.00,1145.00,75.00,0.00,30.00,2615.00,250.00,635.00,710.00,400.00,620.00
5350272.02,4705.00,1.00,2155.00,1245.00,115.00,725.00,45.00,10.00,10.00,2155.00,260.00,625.00,535.00,225.00,510.00
5350273.01,4014.00,3.19,1520.00,1070.00,55.00,330.00,50.00,10.00,0.00,1520.00,155.00,550.00,445.00,185.00,185.00
5350273.02,4160.00,1.29,1570.00,1005.00,55.00,355.00,105.00,10.00,35.00,1570.00,200.00,465.00,485.00,240.00,170.00
5350274.01,4900.00,1.52,2155.00,1340.00,65.00,680.00,60.00,0.00,10.00,2155.00,210.00,585.00,715.00,325.00,320.00
5350274.02,4738.00,1.33,1910.00,1140.00,70.00,610.00,55.00,0.00,35.00,1915.00,170.00,605.00,705.00,250.00,180.00
5350275.00,5836.00,1.98,2395.00,1360.00,95.00,725.00,160.00,30.00,30.00,2390.00,355.00,785.00,805.00,270.00,180.00
5350276.01,6446.00,1.23,2615.00,1670.00,105.00,655.00,130.00,10.00,50.00,2610.00,455.00,800.00,750.00,370.00,240.00
5350276.02,6870.00,1.28,2905.00,1880.00,90.00,685.00,165.00,30.00,55.00,2910.00,410.00,920.00,960.00,400.00,215.00
5350277.00,4084.00,1.03,1605.00,1030.00,65.00,350.00,95.00,20.00,45.00,1605.00,340.00,555.00,480.00,160.00,90.00
5350278.00,7734.00,1.33,2800.00,1540.00,90.00,980.00,125.00,20.00,50.00,2805.00,590.00,805.00,865.00,290.00,255.00
5350279.01,4028.00,1.21,1855.00,930.00,55.00,730.00,90.00,20.00,30.00,1855.00,265.00,580.00,660.00,185.00,170.00
5350279.02,6503.00,1.58,2650.00,1350.00,200.00,925.00,130.00,0.00,45.00,2650.00,290.00,730.00,870.00,375.00,390.00
5350280.00,7333.00,2.14,3435.00,1620.00,145.00,1515.00,125.00,15.00,20.00,3435.00,385.00,855.00,885.00,625.00,680.00
5350281.01,6484.00,0.96,2950.00,1420.00,155.00,1260.00,85.00,10.00,25.00,2950.00,240.00,665.00,870.00,440.00,740.00
5350281.02,3940.00,0.42,1540.00,785.00,95.00,605.00,45.00,0.00,10.00,1540.00,135.00,310.00,455.00,240.00,400.00
5350282.00,4480.00,2.22,2290.00,1590.00,110.00,530.00,45.00,0.00,15.00,2290.00,295.00,770.00,590.00,255.00,375.00
5350283.01,5399.00,0.93,2045.00,1010.00,95.00,855.00,65.00,0.00,15.00,2045.00,170.00,570.00,595.00,300.00,410.00
5350283.02,4542.00,1.17,1545.00,895.00,105.00,515.00,25.00,0.00,10.00,1550.00,170.00,440.00,480.00,185.00,270.00
5350284.00,6840.00,1.41,3155.00,1645.00,130.00,1210.00,120.00,10.00,50.00,3160.00,370.00,940.00,760.00,420.00,665.00
5350285.00,3271.00,1.11,1425.00,850.00,95.00,410.00,60.00,0.00,10.00,1425.00,200.00,400.00,425.00,180.00,230.00
5350286.00,4273.00,3.25,1915.00,925.00,100.00,745.00,140.00,10.00,10.00,1915.00,295.00,460.00,640.00,285.00,245.00
5350287.02,6732.00,1.06,2815.00,980.00,85.00,1400.00,250.00,40.00,55.00,2815.00,390.00,595.00,810.00,555.00,465.00
5350287.03,3432.00,0.48,1150.00,400.00,20.00,625.00,85.00,10.00,15.00,1155.00,115.00,295.00,400.00,210.00,130.00
5350287.04,4474.00,0.59,2155.00,970.00,70.00,940.00,130.00,15.00,30.00,2155.00,370.00,370.00,635.00,495.00,290.00
5350288.00,9970.00,2.63,5185.00,2490.00,175.00,2280.00,125.00,65.00,50.00,5185.00,720.00,1425.00,1600.00,765.00,675.00
5350289.00,4713.00,1.30,2100.00,1110.00,130.00,755.00,90.00,0.00,10.00,2095.00,250.00,565.00,645.00,305.00,330.00
5350290.01,3620.00,0.94,1865.00,800.00,125.00,870.00,60.00,0.00,10.00,1865.00,190.00,485.00,440.00,340.00,415.00
5350290.02,1534.00,0.35,965.00,510.00,40.00,370.00,30.00,0.00,20.00,965.00,70.00,240.00,235.00,190.00,220.00
5350291.02,4947.00,1.15,1965.00,1090.00,115.00,710.00,40.00,0.00,15.00,1965.00,165.00,505.00,560.00,260.00,480.00
5350291.03,2302.00,0.42,960.00,490.00,65.00,350.00,50.00,0.00,0.00,960.00,125.00,235.00,250.00,135.00,220.00
5350291.04,1585.00,0.52,720.00,360.00,50.00,275.00,30.00,0.00,0.00,715.00,75.00,190.00,175.00,135.00,140.00
5350292.00,6721.00,3.74,3115.00,1640.00,190.00,1150.00,105.00,10.00,25.00,3115.00,330.00,765.00,820.00,430.00,770.00
5350293.00,6242.00,1.99,3010.00,1870.00,220.00,845.00,40.00,10.00,25.00,3010.00,315.00,885.00,825.00,405.00,580.00
5350294.01,4386.00,0.86,1955.00,1150.00,130.00,630.00,15.00,0.00,25.00,1955.00,195.00,475.00,545.00,310.00,435.00
5350294.02,4504.00,1.03,1925.00,1155.00,145.00,555.00,45.00,0.00,25.00,1930.00,170.00,520.00,540.00,295.00,400.00
5350295.00,5180.00,1.08,2480.00,1235.00,205.00,965.00,40.00,0.00,40.00,2485.00,205.00,660.00,675.00,455.00,480.00
5350296.00,64.00,4.64,40.00,20.00,10.00,10.00,0.00,0.00,0.00,40.00,0.00,15.00,20.00,0.00,10.00
5350297.01,7313.00,1.14,3445.00,1625.00,120.00,1555.00,90.00,15.00,40.00,3445.00,345.00,785.00,1015.00,725.00,575.00
5350297.02,6502.00,1.51,2890.00,1705.00,105.00,950.00,75.00,15.00,35.00,2890.00,375.00,830.00,810.00,455.00,415.00
5350298.00,4661.00,2.27,2180.00,1265.00,65.00,705.00,90.00,10.00,45.00,2180.00,350.00,610.00,600.00,360.00,265.00
5350299.01,6256.00,2.89,2825.00,1530.00,70.00,1030.00,140.00,20.00,35.00,2825.00,265.00,755.00,900.00,535.00,365.00
5350299.02,5247.00,0.16,2580.00,910.00,60.00,1280.00,300.00,0.00,35.00,2575.00,385.00,470.00,910.00,515.00,300.00
5350300.00,13667.00,1.03,7140.00,3315.00,185.00,3115.00,470.00,10.00,45.00,7145.00,525.00,1930.00,2575.00,1310.00,805.00
5350301.01,2915.00,0.90,1330.00,730.00,100.00,455.00,45.00,0.00,0.00,1330.00,170.00,395.00,380.00,170.00,215.00
5350301.03,6949.00,0.27,3010.00,1100.00,85.00,1635.00,165.00,10.00,30.00,3010.00,225.00,700.00,770.00,580.00,730.00
5350301.04,5859.00,1.43,2920.00,1275.00,140.00,1335.00,130.00,10.00,35.00,2920.00,335.00,700.00,765.00,490.00,635.00
5350302.01,6253.00,1.23,2745.00,1680.00,160.00,785.00,80.00,20.00,15.00,2745.00,325.00,875.00,680.00,320.00,550.00
5350302.02,6140.00,1.08,2610.00,1400.00,205.00,925.00,45.00,15.00,25.00,2610.00,270.00,665.00,690.00,365.00,615.00
5350302.03,3425.00,0.69,1435.00,900.00,55.00,445.00,10.00,0.00,30.00,1440.00,135.00,390.00,430.00,140.00,345.00
5350303.00,5355.00,1.06,2310.00,1105.00,115.00,945.00,120.00,0.00,20.00,2305.00,275.00,590.00,535.00,330.00,580.00
5350304.01,4541.00,0.25,2045.00,985.00,90.00,905.00,50.00,0.00,15.00,2045.00,195.00,425.00,625.00,290.00,510.00
5350304.02,4777.00,1.21,1965.00,1195.00,100.00,590.00,55.00,0.00,25.00,1960.00,170.00,530.00,505.00,380.00,375.00
