X,Y,CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE
-79.5755719756072,43.7554104911296,"5350315.01","0315.01","35",Ontario,"535","35535",Toronto,B
-79.564706757834,43.750180726219,"5350315.02","0315.02","35",Ontario,"535","35535",Toronto,B
-79.374421613391,43.7962600240801,"5350324.01","0324.01","35",Ontario,"535","35535",Toronto,B
-79.3635056018784,43.798672492777,"5350324.02","0324.02","35",Ontario,"535","35535",Toronto,B
-79.3462222862447,43.8036657530517,"5350324.03","0324.03","35",Ontario,"535","35535",Toronto,B
-79.3245637710371,43.7849480597145,"5350375.01","0375.01","35",Ontario,"535","35535",Toronto,B
-79.3046198243618,43.7842369312735,"5350375.03","0375.03","35",Ontario,"535","35535",Toronto,B
-79.2975488609184,43.7969417603714,"5350376.01","0376.01","35",Ontario,"535","35535",Toronto,B
-79.3038217957283,43.8045560247609,"5350376.02","0376.02","35",Ontario,"535","35535",Toronto,B
-79.3287809940094,43.7119673395497,"5350260.01","0260.01","35",Ontario,"535","35535",Toronto,B
-79.2947122018303,43.7898123303883,"5350376.15","0376.15","35",Ontario,"535","35535",Toronto,B
-79.2937310812171,43.7835937268577,"5350376.16","0376.16","35",Ontario,"535","35535",Toronto,B
-79.5705696017555,43.680160516286,"5350237.01","0237.01","35",Ontario,"535","35535",Toronto,B
